,word,neg_adv_count,pos_adv_count
1036,inexplicably,4.0,
1037,extensively..here,1.0,
1038,.pros,1.0,
1039,.wireless,1.0,
1040,washer,5.0,3.0
1041,tragically,1.0,1.0
1042,duly,3.0,2.0
1043,epicentre,1.0,
1044,ouch,1.0,1.0
1045,wisely,2.0,3.0
1046,miraculously,9.0,
1047,hopefully,36.0,33.0
1048,privately,8.0,2.0
1049,explicitly,6.0,
1050,explain,6.0,1.0
1051,crazily,1.0,
1052,traditionally,1.0,3.0
1053,turnover,2.0,
1054,usually,6.0,3.0
1055,wrongfully,1.0,
1056,vodka,1.0,
1057,-honestly,1.0,
1058,-i,1.0,
1059,ice,8.0,4.0
1060,renag,1.0,
1061,rightly,5.0,2.0
1062,earplugs,3.0,
1063,brought,3.0,2.0
1064,-rd,3.0,
1065,affixed,1.0,
1066,smoother,2.0,
1067,temp,6.0,
1068,grout,3.0,1.0
1069,deliver,13.0,7.0
1070,squarely,2.0,
