identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
glass wall,1,3,1,12.899860393540989
fresh towel,4,3,1,10.899860393540989
big light,9,2,1,10.314897892819832
steep stair,9,6,2,9.729935392098676
scared walking,1,0,1,0.0
didn t,5,8,5,11.484822894262146
bad experience,14,7,3,9.455075550868093
just champu,6,1,1,11.899860393540989
shower cap,6,1,1,11.899860393540989
heavy use,2,1,1,13.484822894262146
minor detail,3,2,1,11.899860393540989
more water,13,7,1,7.977028254063449
small room,44,100,16,6.381535085850124
small step,44,4,1,7.025391275624848
general show,3,1,1,12.899860393540989
noisy room,4,100,2,6.840966704487421
few meter,6,1,1,11.899860393540989
not working,17,1,5,12.719288147899169
daily basis,2,1,1,13.484822894262146
fresh cup,4,2,1,11.484822894262146
used toilet,2,2,1,12.484822894262146
only thing,17,12,6,9.397360053011806
decent storage,1,3,1,12.899860393540989
still going,3,0,1,0.0
minimal disruption,3,1,1,12.899860393540989
more eye,13,1,1,10.784383176121054
other part,19,3,1,8.651932880097403
slow check,3,6,1,10.314897892819832
minimal space,3,9,1,9.729935392098676
pricey considering,2,0,1,0.0
long check,7,6,1,9.092505471483385
only thing,17,12,6,9.397360053011806
unusual room,1,100,1,7.840966704487421
limited storage,4,3,1,10.899860393540989
small air,44,8,1,6.025391275624848
loud aircondition,5,1,1,12.162894799374783
small staircase,44,6,1,6.440428774903692
nearly everything,1,2,1,13.484822894262146
twin room,2,100,1,6.840966704487421
twin bed,2,14,1,9.677467972204541
double room,11,100,5,6.7034631807374865
double bed,11,14,3,8.8029988542884
unclear entrance,1,3,1,12.899860393540989
not looking,17,0,1,0.0
previous guest,5,9,2,9.99296979793247
other people,19,4,1,8.23689538081856
didn t,5,8,5,11.484822894262146
narrow stair,6,6,1,9.314897892819832
pleasant night,3,15,1,8.99296979793247
little bit,23,9,4,8.79133593676282
much construction,8,7,1,8.677467972204541
poor air,4,8,1,9.484822894262146
black makesitabit,5,1,1,12.162894799374783
small room,44,100,16,6.381535085850124
enough space,5,9,1,8.99296979793247
trams frequent,1,1,1,14.484822894262146
average breakfast,1,12,1,10.899860393540989
other guest,19,9,3,8.651932880097403
smelly room,1,100,1,7.840966704487421
bad smell,14,9,1,7.50754297076223
lounge area,1,7,1,11.677467972204541
cold room,8,100,1,4.840966704487421
other guest,19,9,3,8.651932880097403
steep staircase,9,6,4,10.729935392098676
noisy dark,4,1,1,12.484822894262146
rowdy neighbor,1,1,1,14.484822894262146
small room,44,100,16,6.381535085850124
easy tram,2,1,1,13.484822894262146
long walk,7,1,1,11.677467972204541
centre breakfast,1,12,1,10.899860393540989
good hotel,21,20,1,5.770577376596023
really nothing,5,2,2,12.162894799374783
large suit,3,1,1,12.899860393540989
cab service,1,5,1,12.162894799374783
little storage,23,3,1,8.376298437483976
small side,44,11,6,8.150922157708708
about parking,1,1,1,14.484822894262146
complimentary drink,4,8,1,9.484822894262146
only staying,17,0,1,0.0
different room,10,100,3,6.104001110321215
extra cost,6,3,2,11.314897892819832
cooked element,2,1,1,13.484822894262146
continental selection,1,7,1,11.677467972204541
top floor,5,22,4,9.703463180737486
top floor,5,22,4,9.703463180737486
electrical issue,2,8,1,10.484822894262146
loud knocking,5,1,1,12.162894799374783
second room,11,100,3,5.96649758657128
good quality,21,6,2,8.507542970762229
t mean,27,2,2,9.729935392098676
bad day,14,14,1,6.870113050146937
worth calling,2,0,1,0.0
cardio equipment,1,1,1,14.484822894262146
real ventilation,4,1,1,12.484822894262146
lower ground,6,4,4,11.899860393540989
smallest bathroom,1,13,1,10.784383176121054
awful view,1,3,1,12.899860393540989
not inspiring,17,0,1,0.0
single room,7,100,1,5.0336117824298166
squeaky floor,1,22,1,10.025391275624848
only guest,17,9,1,7.227435051569493
single welcome,7,1,1,11.677467972204541
good morning,21,7,2,8.285150549425781
special requirement,2,1,1,13.484822894262146
nice property,6,1,1,11.899860393540989
indifferent attitude,1,2,1,13.484822894262146
striking difference,1,1,1,14.484822894262146
small hotel,44,20,2,5.7034631807374865
cashier mashine,1,1,1,14.484822894262146
back office,3,1,1,12.899860393540989
expire month,1,1,1,14.484822894262146
mobile phone,3,2,2,12.899860393540989
informed regarding,1,0,1,0.0
specific question,1,1,1,14.484822894262146
good lighting,21,0,1,0.0
4th floor,1,22,1,10.025391275624848
larger room,4,100,2,6.840966704487421
awkward size,1,1,1,14.484822894262146
little stuffy,23,1,1,9.961260938205132
shower temperature,6,3,1,10.314897892819832
great place,6,4,1,9.899860393540989
fresh air,4,8,1,9.484822894262146
free breakfast,9,12,1,7.729935392098677
also bacon,5,3,1,10.577932298653627
same oven,13,1,1,10.784383176121054
free food,9,2,1,10.314897892819832
much option,8,1,1,11.484822894262146
clean fitness,5,1,1,12.162894799374783
fitness center,1,1,1,14.484822894262146
small room,44,100,16,6.381535085850124
soft bathroom,3,13,1,9.199420675399898
wee bit,1,9,1,11.314897892819832
same consideration,13,1,1,10.784383176121054
top floor,5,22,4,9.703463180737486
cold water,8,7,1,8.677467972204541
non slip,2,1,1,13.484822894262146
second room,11,100,3,5.96649758657128
s security,6,1,1,11.899860393540989
standard room,2,100,2,7.840966704487421
euros deposit,1,1,1,14.484822894262146
potential mini,1,2,1,13.484822894262146
only thing,17,12,6,9.397360053011806
big deal,9,5,1,8.99296979793247
soft mattress,3,1,1,12.899860393540989
next morning,17,7,2,8.590005130954202
worst room,2,100,1,6.840966704487421
second day,11,14,4,9.218036353567244
reduced price,2,7,1,10.677467972204541
